season,url,sampled_brands
Fall 2007 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear,"Daryl K, Diane von Furstenberg, Carolina Herrera, Paul Smith, Dsquared2, Pollini, Jens Laugesen, John Galliano, Moschino, Sonia Rykiel, Erin Fetherston, Alexander Wang, Michael Kors Collection, Sari Gueron, Y-3, Richard Chai Love, Naum, Antonio Berardi, Chloé, Bottega Veneta, Tao, Reem Acra, Isaac Mizrahi, Andreas Kronthaler for Vivienne Westwood, Pringle of Scotland, Lanvin, Duro Olowu, BCBGMaxAzria, Karl Lagerfeld, Givenchy, Martin Grant, Narciso Rodriguez, Dolce & Gabbana, Chaiken, Vionnet, Lacoste, Rue du Mail, Junya Watanabe, Jean Paul Gaultier, Dries Van Noten"
Spring 2007 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear,"Badgley Mischka, Alice Roi, Toni Maticevski, Thakoon, Marc by Marc Jacobs, Antonio Berardi, Karl Lagerfeld, Paul Smith, Rodarte, Y-3, Topshop Unique, Maison Margiela, Carolina Herrera, Comme des Garçons, Jeremy Laing, Dries Van Noten, Derek Lam, Jasmine Di Milo, Christian Lacroix, Marchesa, Saint Laurent, Calvin Klein Collection, Gianfranco Ferré, Sari Gueron, Loewe, Vera Wang, La Perla, Bill Blass, Carlos Miele, Emporio Armani, Karen Walker, Emanuel Ungaro, Andreas Kronthaler for Vivienne Westwood, Peter Som, Tao, Christopher Kane, Stærk, Richard Chai Love, Belstaff, Yigal Azrouël"
Fall 2006 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear,"Sinha-Stanic, Hermès, Louis Vuitton, Basso & Brooke, Phi, Ann Demeulemeester, Richard Nicoll, Costume National, Noir, Lanvin, Balenciaga, Jonathan Saunders, Moschino, Dsquared2, Junya Watanabe, Celine, Stella McCartney, Naum, Jean Paul Gaultier, Viktor & Rolf, Zac Posen, Marc by Marc Jacobs, Antonio Berardi, Kenzo, Erdem, Menichetti, Brioni, Undercover, Jenni Kayne, Yohji Yamamoto, Sophia Kokosalaki, Tao, Etro, Alessandro Dell'Acqua, Monique Lhuillier, Zero + Maria Cornejo, Dries Van Noten, Dolce & Gabbana, Sweetface, Strenesse"
Spring 2006 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear,"Giorgio Armani, Narciso Rodriguez, Project Alabama, Lacoste, Rodarte, Junya Watanabe, Ferragamo, Chalayan, Stella McCartney, Carolina Herrera, Véronique Leroy, Chanel, McQueen, Aquascutum, Diane von Furstenberg, L.A.M.B., Nicole Miller, Andrew Gn, Fendi, Libertine, Costello Tagliapietra, Fashion Fringe, Alexandre Herchcovitch, Temperley London, Strenesse, Philosophy di Lorenzo Serafini, Ralph Lauren, J. Mendel, A.F. Vandevorst, Alberta Ferretti, Peter Som, Nina Ricci, Missoni, Marc by Marc Jacobs, Naum, Phi, Louis Vuitton, Chaiken, Fashion East, Peter Jensen"
Fall 2005 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear,"Alberta Ferretti, Dolce & Gabbana, Chaiken, Carolina Herrera, Boudicca, Emporio Armani, Costume National, Wunderkind, Christian Dior, Saint Laurent, Zac Posen, Diane von Furstenberg, Oscar de la Renta, DKNY, Ralph Rucci, Prada, Aquascutum, Vera Wang, Narciso Rodriguez, Nina Ricci, Riccardo Tisci, Behnaz Sarafpour, Luca Luca, Fendi, J. Mendel, Sinha-Stanic, A.F. Vandevorst, Emilio Pucci, Temperley London, Chloé, Rick Owens, Jean Paul Gaultier, United Bamboo, Calvin Klein Collection, Dsquared2, Luella, Marc Jacobs, Max Mara, Jonathan Saunders, Peter Som"
Spring 2005 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear,"Dsquared2, Valentino, Sebastian Pons, Alexandre Herchcovitch, Donna Karan New York, Marni, Fashion Fringe, Behnaz Sarafpour, Rick Owens, Burberry, Imitation of Christ, Lagerfeld Gallery, Wunderkind, Undercover, Moschino, Peter Som, Temperley London, Jill Stuart, Eley Kishimoto, Dolce & Gabbana, Boudicca, Alistair Carr, Helmut Lang, Daryl K, Missoni, Clements Ribeiro, Monique Lhuillier, Ralph Rucci, Gardem, Bill Blass, As Four, Louis Vuitton, Carolina Herrera, Jean Paul Gaultier, Costume National, Calvin Klein Collection, Peter Jensen, DKNY, Preen by Thornton Bregazzi, Jil Sander"
Fall 2004 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear,"A.F. Vandevorst, Nina Ricci, Chanel, Giorgio Armani, Pollini, Michael Kors Collection, Akris, Jill Stuart, Jean Paul Gaultier, DKNY, Daryl K, Marc Jacobs, Saint Laurent, Anna Sui, Lanvin, McQueen, Comme des Garçons, Yohji Yamamoto, Viktor & Rolf, Tim van Steenbergen, Luca Luca, Roberto Cavalli, Proenza Schouler, Alessandro Dell'Acqua, Versus Versace, J. Mendel, Bottega Veneta, John Galliano, Emilio Pucci, Christian Dior, Emanuel Ungaro, Carolina Herrera, Peter Som, Helmut Lang, Stella McCartney, Dries Van Noten, Imitation of Christ, Oscar de la Renta, Dsquared2, Vera Wang"
Spring 2004 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear,"Viktor & Rolf, Junya Watanabe, Sophia Kokosalaki, Oscar de la Renta, Emilio Pucci, Dolce & Gabbana, Luella, Veronique Branquinho, Emma Cook, Diane von Furstenberg, Martine Sitbon, Betsey Johnson, Y’s, Tim van Steenbergen, Daryl K, Marc Jacobs, Dsquared2, Miguel Adrover, Zero + Maria Cornejo, Chanel, Fendi, Michael Kors Collection, D&G, A.F. Vandevorst, Yohji Yamamoto, Versace, Louis Vuitton, Vera Wang, Paul Smith, Preen by Thornton Bregazzi, Calvin Klein Collection, Undercover, Badgley Mischka, Alberta Ferretti, Ralph Lauren, Anna Sui, Andrew Gn, Jill Stuart, Marni, John Galliano"
Fall 2003 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear,"Anne Klein, Dries Van Noten, Carolina Herrera, Ann Demeulemeester, Imitation of Christ, Dolce & Gabbana, Missoni, Nicole Farhi, Veronique Branquinho, Balenciaga, Chanel, Gianfranco Ferré, Bill Blass, Undercover, Gucci, Ralph Lauren, Alessandro Dell'Acqua, Celine, Martin Grant, Donna Karan New York, Oscar de la Renta, DKNY, Costume National, Giorgio Armani, Christian Dior, Preen by Thornton Bregazzi, Behnaz Sarafpour, Narciso Rodriguez, Lanvin, John Galliano, Diane von Furstenberg, Clements Ribeiro, Zero + Maria Cornejo, Kenneth Cole New York, Chloé, Versus Versace, Capucci, Pierrot, Proenza Schouler, Louis Vuitton"
Spring 2003 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear,"Comme des Garçons, James Coviello, Gucci, Dries Van Noten, Miguel Adrover, McQueen, Tommy Hilfiger, Ruffo Research, Jean Paul Gaultier, Emanuel Ungaro, Markus Lupfer, Ralph Lauren, Christian Lacroix, Givenchy, Marc by Marc Jacobs, Prada, BCBGMaxAzria, Moschino, Alexandre Herchcovitch, Y-3, Katayone Adeli, Paul Smith, Behnaz Sarafpour, Hamish Morrow, Michael Kors Collection, Fendi, Jil Sander, Narciso Rodriguez, Diane von Furstenberg, Rafael Lopez, Junya Watanabe, Kenneth Cole New York, Helmut Lang, Russell Sage, A.F. Vandevorst, Maurizio Pecoraro, Viktor & Rolf, DKNY, M.R.S., Marni"
