season,url,sampled_brands
Fall 2024 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear,"Valentino, JW Anderson, Chopova Lowena, Frederick Anderson, Kozaburo, Plan C, Atelier Prabal Gurung, Giambattista Valli, Margaret Howell, Chocheng, Ralph Lauren, Hodakova, Junya Watanabe, Kith, Naeem Khan, Preen by Thornton Bregazzi, Shiatzy Chen, Rejina Pyo, Rahul Mishra AFEW, Cos, Tanya Taylor, Maxhosa, Fforme, Gauchere, Matty Bovan, Ashley Williams, Isabel Marant, Niccolò Pasqualetti, Max Mara Atelier, Alberta Ferretti, Casablanca, Self-Portrait, Tibi, Tom Ford, Interior, Christopher Esber, Alessandra Rich, Issey Miyake, Colville, Maria McManus"
Spring 2024 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear,"Sportmax, Duran Lantink, Lutz Huelle, Colville, Maryam Nassir Zadeh, Ambush, Rentrayage, Yuhan Wang, Commission, Genny, The Row, Versace, Jonathan Cohen, K Krizia, Rosie Assoulin, Nells Nelson, Staud, Atlein, Fforme, Comme des Garçons, Feben, Zimmermann, Batsheva, Anna Sui, Vetements, Renaissance Renaissance, Studio 189, Bach Mai, Petar Petrov, Bibhu Mohapatra, GCDS, Fashion East, Area, Polo Ralph Lauren, Lanvin, Mains, Emilio Pucci, Alexander Wang, Frederick Anderson, Niccolò Pasqualetti"
Fall 2023 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2023-ready-to-wear,"Jason Wu Collection, Bibhu Mohapatra, Tanya Taylor, Feben, Area, Stella McCartney, Rochas, Jonathan Cohen, Fashion Institute of Technology, Christian Dior, Jacquemus, Badgley Mischka, Theory, Rachel Antonoff, Alexandre Vauthier, Heliot Emil, LoveShackFancy, Palomo Spain, Giada, Thom Browne, Nells Nelson, Harris Reed, Michael Kors Collection, Dsquared2, Burberry, Chet Lo, Kith, Brunello Cucinelli, Maccapani, Acne Studios, Tokyo James, Apiece Apart, Comme des Garçons, Simone Rocha, Roland Mouret, Prada, Kenneth Ize, Bally, H&M Studio, Frederick Anderson"
Spring 2023 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2023-ready-to-wear,"Cult Gaia, Lafayette 148 New York, Andreadamo, Chopova Lowena, Adam Lippes, Caroline Hu, Tom Ford, We11done, Diesel, Vaquera, Mary Katrantzou, Brandon Maxwell, Jil Sander, CFCL, Victor Glemaud, Callas Milano, Charles Jeffrey Loverboy, Chet Lo, The Row, Hodakova, Roberto Cavalli, Xuly.Bët, Dundas, Diane von Furstenberg, Petar Petrov, Nensi Dojaka, Matty Bovan, Altuzarra, Partow, Comme des Garçons, Missoni, Rachel Comey, Ludovic de Saint Sernin, Erdem, Di Petsa, Gauchere, Eckhaus Latta, Susan Fang, Anteprima, Arthur Arbesser"
Fall 2022 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2022-ready-to-wear,"RTA, Ottolinger, Duro Olowu, Shang Xia, Rosetta Getty, Emporio Armani, Altuzarra, Yeohlee, Adam Lippes, The Attico, Alexander Wang, Fashion East, Private Policy, Huishan Zhang, Fendi, Palm Angels, Kiko Kostadinov, Coach, Windsor, Iro, Sunnei, Supriya Lele, Lanvin, 16Arlington, McQueen, Marni, SC103, Talia Byre, Philosophy di Lorenzo Serafini, Maison Rabih Kayrouz, Sandro, Adeam, Rave Review, Vaquera, NIHL, Raf Simons, Rachel Comey, Agnona, Matty Bovan, Lutz Huelle"
Spring 2022 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear,"Khaite, A.L.C., Halpern, Naeem Khan, Yuhan Wang, Lee Mathews, Kenneth Ize, Deveaux, Libertine, Zanini, Olivier Theyskens, Hope For Flowers, Kenneth Nicholson, Y/Project, Raf Simons, Prune Goldschmidt, Max Mara, Lela Rose, Tory Burch, Ferrari, Piazza Sempione, Vivienne Tam, Maje, Rejina Pyo, Area, Osman Yousefzada, Opening Ceremony, Winnie, Boss, We11done, Eckhaus Latta, Carolina Herrera, Sid Neigum, Moncler + DingYun Zhang, Chufy, Rokh, Callas Milano, Hodakova, Sharon Wauchob, Zuhair Murad"
Fall 2021 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2021-ready-to-wear,"Dolce & Gabbana, Emilia Wickstead, Vivienne Westwood, Zadig & Voltaire, Plan C, J.Crew, Commission, Kenzo, Alyx, SC103, Tom Ford, Eckhaus Latta, Brock Collection, Kim Shui, Dries Van Noten, Moncler 2 1952, Oscar de la Renta, Tia Adeola, Marni, Nomia, Courrèges, Erdem, Alice + Olivia, Lanvin, Anna Sui, Emilio Pucci, Mugler, Carolina Herrera, David Koma, Mark Fast, Melitta Baumeister, Issey Miyake, Dorothee Schumacher, Judy Turner, Philosophy di Lorenzo Serafini, Rabanne, Nina Ricci, Charles Jeffrey Loverboy, The Academy New York, Coach"
Spring 2021 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2021-ready-to-wear,"Kolor, Yuhan Wang, Kenneth Ize, Thom Browne, Yigal Azrouël, Ottolinger, Nina Ricci, Rosetta Getty, Burberry, Libertine, Charles Jeffrey Loverboy, Sharon Wauchob, Wolk Morais, Givenchy, Eytys, Chocheng, Badgley Mischka, Erdem, Ulla Johnson, Barragán, Sunnei, Sandy Liang, Saint Laurent, Isabel Marant, Ferragamo, Rejina Pyo, Ellery, Maryam Nassir Zadeh, Pamella Roland, Marina Moscone, Andrea Pompilio, Christopher Kane, Simone Rocha, Rick Owens, Rokh, Nicole Miller, Eckhaus Latta, Alexis Mabille, Nicholas K, Thebe Magugu"
Fall 2017 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2017-ready-to-wear,"Rhié, Creatures of Comfort, Steven Alan, Lemlem, Norma Kamali, Baja East, Martin Grant, Dion Lee, VFiles, For Restless Sleepers, Tsumori Chisato, Osklen, Delpozo, Toga, Rachel Zoe, Raeburn, Elizabeth and James, Jill Stuart, Trussardi, Mugler, Giambattista Valli, Telfar, Missoni, A.L.C., Nina Ricci, Kes, Atlein, Marcelo Burlon County of Milan, Lela Rose, Louis Vuitton, Chloé, Jacquemus, Erika Cavallini, Issey Miyake, Bibhu Mohapatra, Dries Van Noten, J Brand, Joseph, Rahul Mishra, Yigal Azrouël"
Spring 2017 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2017-ready-to-wear,"Colovos, Barbara Bui, Christian Dior, Marco de Vincenzo, David Koma, Erin Fetherston, Akris, Elizabeth and James, Andrew Gn, J. Mendel, Jacquemus, Yang Li, Off-White, Valentino, Kate Spade New York, Maiyet, H&M Studio, Daks, Ulla Johnson, Marchesa, Veronica Beard, Tibi, Creatures of Comfort, Trina Turk, Piazza Sempione, The Elder Statesman, Temperley London, Julien Macdonald, Moncler Gamme Rouge, Marchesa Notte, Roberto Cavalli, Johanna Ortiz, Stella Jean, Dondup, Pyer Moss, Maison Margiela, Marissa Webb, Vanessa Seward, Missoni, Victoria Victoria Beckham"
